         usid   latitude   longitude                 cell  earfcndl
15072   12107  33.856667 -118.007194        CLL00597_7B_1      5780
15073  139533  35.361289 -119.076675        CSL03533_9C_1      1125
15074   47052  35.385531 -119.107642        CSL06300_7C_1      5780
15075   47279  35.372042 -119.029000        CSL09729_7C_1      5780
15076   12107  33.856667 -118.007194        CLL00597_9B_1       850
15077   48115  33.939944 -118.214694        CLL22485_2C_1      1975
15078  141368  33.914800 -118.112086        CLL06000_9A_1       850
15079   25665  33.846972 -118.245222        CLL22670_2C_1      1975
15080   25665  33.846972 -118.245222        CLL22670_2C_1      1975
15081   84433  34.051460 -118.246140        CLL00259_2C_1      1975
15082   84433  34.051460 -118.246140        CLL00259_2C_1      1975
15083   48115  33.939944 -118.214694        CLL22485_7C_1      5780
15084   26341  34.145944 -118.779389        CLL21690_7A_1      5780
15085   47885  35.294639 -119.058306        CSL00022_7C_1      5780
15086   44227  33.924333 -117.409750        CSL24509_7C_1      5780
15087  102094  35.396472 -118.879028        CSL21159_9B_2       775
15088  142554  35.364069 -119.018478        CSL20611_9A_2       775
15089   47885  35.294639 -119.058306        CSL21115_9B_1      1125
15090  141368  33.914800 -118.112086        CLL06000_2C_1      1975
15091    9537  35.353584 -119.062690        CSL00017_9C_1      1125
15092    9537  35.353584 -119.062690        CSL00017_7C_1      5780
15093  142554  35.364069 -119.018478        CSL00611_9B_2       775
15094   44227  33.924333 -117.409750        CSL24509_2C_1      1975
15095   47885  35.294639 -119.058306        CSL00022_9C_1      1125
15096  141368  33.914800 -118.112086        CLL06000_9C_1       850
15097  142554  35.364069 -119.018478        CSL00611_9C_2       775
15098   97755  35.260639 -118.915083        CSL21170_9B_2       775
15099  139367  35.397278 -118.915775        CSL20627_7C_1      5780
15100   84433  34.051460 -118.246140        CLL00259_7C_1      5780
15101    9537  35.353584 -119.062690        CSL00017_3C_1      9820
15102  141368  33.914800 -118.112086        CLL06000_2A_1      1975
15103   84433  34.051460 -118.246140        CLL00259_9C_1       850
15104   99953  33.615085 -117.872017        CLL00758_3C_1      9820
15105   47885  35.294639 -119.058306        CSL21115_7B_1      5780
15106   25665  33.846972 -118.245222        CLL22670_7C_1      5780
15107   11849  34.190111 -118.541972        CLL21930_9A_1       850
15108   25637  33.959583 -118.345611        CLL22442_9C_1       850
15109  150427  33.754028 -118.290917        CLL02861_9B_1       850
15110  117347  32.728870 -117.191678        CAL03781_3C_1      9820
15111  150427  33.754028 -118.290917        CLL22861_9C_1       850
15112   11628  34.530250 -118.144667        CLL01836_9A_1       850
15113  103200  33.942167 -118.063028        CLL23129_9C_1       850
15114  150427  33.754028 -118.290917        CLL02861_9A_1       850
15115   11628  34.530250 -118.144667        CLL01836_9B_1       850
15116   25637  33.959583 -118.345611        CLL02442_9A_1       850
15117   25637  33.959583 -118.345611        CLL02442_9A_1       850
15118  106261  33.245015 -117.321341        CAL04002_9A_1       700
15119  106261  33.245015 -117.321341        CAL04002_7A_1      5780
15120  106261  33.245005 -117.321352        CAL01002_3B_1      9820
15121   87925  32.835385 -117.189181        CAL05084_3B_1      9820
15122   87925  32.835385 -117.189181        CAL05084_3B_1      9820
15123  119934  32.729053 -117.204825        CAL05332_3D_1      9820
15124   87925  32.835385 -117.189181        CAL02084_3C_1      9820
15125   87925  32.835385 -117.189181        CAL02084_3C_1      9820
15126  117347  32.728870 -117.191678        CAL05881_3D_1      9820
15127   25637  33.959583 -118.345611        CLL02442_9B_1       850
15128   13768  34.029389 -118.465444        CLL02247_3B_1      9820
15129  122802  34.087084 -118.294482        CLL02370_3C_1      9820
15130  122802  34.087084 -118.294482        CLL02370_3C_1      9820
15131  122802  34.087084 -118.294482        CLL02370_3C_1      9820
15132   26436  34.067449 -118.148863        CLL05888_3A_1      9820
15133   87399  34.239944 -117.220722        CSL04125_3C_1      9820
15134   26387  34.430111 -119.824000        CSL01417_9B_1       875
15135  106224  33.697850 -117.743522        CLL23681_9A_1       850
15136  106224  33.697850 -117.743522        CLL23681_9A_1       850
15137   51789  33.826583 -117.765083        CLL03629_9A_1       850
15138   87062  33.702227 -117.953419        CLL03518_3B_1      9820
15139   51789  33.826583 -117.765083        CLL03629_9C_1       850
15140   11992  33.813470 -118.346795        CLL02841_3B_1      9820
15141   11828  34.178917 -118.338861        CLL05062_9C_1       850
15142  106224  33.697850 -117.743522        CLL03681_9C_1       850
15143   12095  33.833056 -118.037500        CLL23267_3C_1      9820
15144   26387  34.430111 -119.824000        CSL01417_9A_1       875
15145   50960  33.944806 -117.502389        CSL04515_9B_1       850
15146   11734  34.091553 -118.342037        CLL25613_3C_1      9820
15147   11734  34.091553 -118.342037        CLL25613_3C_1      9820
15148  119934  32.729053 -117.204825        CAL06332_3E_1      9820
15149   11849  34.190111 -118.541972        CLL01930_9B_1       850
15150   12411  34.094817 -117.439264        CSL24479_9B_1       850
15151   26387  34.430111 -119.824000        CSL01417_9C_1       875
15152  103200  33.942167 -118.063028        CLL03129_9B_1       850
15153   50960  33.944806 -117.502389        CSL04515_9A_1       850
15154  107001  33.815028 -117.533306        CSL04586_9B_1       850
15155   12556  34.412639 -119.848389        CSL01412_3A_1      9820
15156   26368  34.418360 -118.558899        CLL21877_3C_1      9820
15157  107001  33.815028 -117.533306        CSL04586_9C_1       850
15158   11849  34.190111 -118.541972        CLL01930_9C_1       850
15159   11828  34.178917 -118.338861        CLL05062_9A_1       850
15160   87399  34.239944 -117.220722        CSL04125_3A_1      9820
15161   11938  34.029408 -118.409629        CLL22405_3A_1      9820
15162   11671  33.728255 -118.081949        CLL03299_3C_1      9820
15163   12411  34.094817 -117.439264        CSL04479_9C_1       850
15164   12411  34.094817 -117.439264        CSL04479_9C_1       850
15165   11992  33.813567 -118.346495        CLL22841_3A_1      9820
15166   11992  33.813567 -118.346495        CLL22841_3A_1      9820
15167   12411  34.094817 -117.439264        CSL04479_9A_1       850
15168   12411  34.094817 -117.439264        CSL04479_9A_1       850
15169   13762  35.340556 -119.096111        CSL01112_3A_1      9820
15170   12107  33.856667 -118.007194      CLL03212_7A_2_E      9720
15171  100979  35.353667 -119.157806        CSL01166_9A_2       775
15172   13762  35.340556 -119.096111        CSL21112_3C_1      9820
15173   40916  34.148647 -118.137703        CLL05812_3A_1      9820
15174   12505  34.214581 -119.044139        CSL01534_3A_1      9820
15175  125534  34.293596 -118.411660        CLL05205_3B_1      9820
15176  125534  34.293596 -118.411660        CLL05205_3B_1      9820
15177   84129  33.944833 -117.435806        CSL04504_9C_1       850
15178   84129  33.944833 -117.435806        CSL04504_9C_1       850
15179   87399  34.239944 -117.220722        CSL24125_3B_1      9820
15180   50960  33.944806 -117.502389        CSL04515_9C_1       850
15181  100979  35.353667 -119.157806        CSL21166_9B_2       775
15182   51789  33.826583 -117.765083        CLL23629_9B_1       850
15183  100979  35.353667 -119.157806        CSL01166_9C_2       775
15184   40916  34.148675 -118.137833        CLL25812_3C_1      9820
15185  125534  34.293596 -118.411660        CLL05205_3A_1      9820
15186  107001  33.815028 -117.533306        CSL04586_9A_1       850
15187   26368  34.418211 -118.558503        CLL01877_3A_1      9820
15188   12107  33.856667 -118.007194      CLL00597_7B_2_E      9720
15189   12505  34.214581 -119.044139        CSL21534_3B_1      9820
15190  106224  33.697850 -117.743522        CLL03681_9B_1       850
15191   84129  33.944833 -117.435806        CSL04504_9A_1       850
15192   25643  33.921306 -118.190250        CLL02643_9B_1       850
15193   48038  34.206639 -118.655833        CLL01744_9A_1       850
15194   12168  33.869250 -118.005280        CLL03107_9B_1       850
15195   48038  34.206639 -118.655833        CLL01744_9C_1       850
15196   48038  34.206639 -118.655833        CLL01744_9C_1       850
15197   48038  34.206639 -118.655833        CLL01744_9C_1       850
15198   47988  33.903889 -118.242222        CLL02636_7A_1      5780
15199   47988  33.903889 -118.242222        CLL02636_9C_1       850
15200   25643  33.921306 -118.190250        CLL22643_9A_1       850
15201   25643  33.921306 -118.190250        CLL22643_9A_1       850
15202  139724  33.591964 -117.729817        CLL01796_9C_1       850
15203   12168  33.869250 -118.005280        CLL03107_9A_1       850
15204   25643  33.921306 -118.190250        CLL02643_9C_1       850
15205   25643  33.921306 -118.190250        CLL02643_9C_1       850
15206   12168  33.869250 -118.005280        CLL23107_9C_1       850
15207   47988  33.903889 -118.242222        CLL02636_7C_1      5780
15208   48038  34.206639 -118.655833        CLL01744_9B_1       850
15209   48038  34.206639 -118.655833        CLL01744_9B_1       850
15210  139724  33.591964 -117.729817        CLL21796_9A_1       850
15211   47988  33.903889 -118.242222        CLL02636_9A_1       850
15212  103022  32.904116 -117.199218      CAL06365_2S_1_B      2200
15213  139724  33.591964 -117.729817        CLL01796_9B_1       850
15214   48925  34.019361 -117.897306        CLL04266_9C_1       850
15215  118692  34.199431 -118.171311        CLL25022_9B_1       850
15216    9547  35.384414 -119.045914        CSL01093_9A_2       775
15217  118692  34.199431 -118.171311        CLL05022_9A_1       850
15218   48125  33.788256 -118.123467        CLL23284_7A_1      5780
15219   11775  34.057306 -118.345528        CLL25665_2A_1      1975
15220  117631  34.105002 -118.201752        CLL25852_2C_1      1975
15221    9563  35.477861 -117.700167        CSL01040_9B_2       775
15222  101405  33.773528 -117.974369        CLL03342_2A_1      1975
15223  118489  33.544786 -117.791558        CLL03510_9A_1       850
15224   25732  33.939389 -117.932750        CLL23027_9B_1       850
15225   12150  34.098000 -117.983222        CLL24226_2A_1      1975
15226   48925  34.019361 -117.897306        CLL24266_9B_1       850
15227   48925  34.019361 -117.897306        CLL04266_9A_1       850
15228   48925  34.019361 -117.897306        CLL04266_9A_1       850
15229  114062  34.069356 -117.963853        CLL06113_9C_1       850
15230  143646  35.353417 -119.019536        CSL20618_9A_2       775
15231   47052  35.385531 -119.107642        CSL06300_9C_2       775
15232   11828  34.178917 -118.338861        CLL25062_9B_1       850
15233   11909  34.063556 -118.399278        CLL25638_2C_1      1975
15234  127122  34.065183 -118.389397        CLL05727_9B_1       850
15235  127122  34.065183 -118.389397        CLL05727_9B_1       850
15236   47884  35.314795 -119.037067        CSL21117_9B_1      1125
15237   12150  34.098000 -117.983222        CLL24226_7A_1      5780
15238  127122  34.065183 -118.389397        CLL25727_9C_1       850
15239   27364  34.086861 -117.322056        CSL04602_9C_1       850
15240    9547  35.384414 -119.045914        CSL21093_9B_2       775
15241  143646  35.353417 -119.019536        CSL00618_9B_2       775
15242   27364  34.086861 -117.322056        CSL04602_9A_1       850
15243   25732  33.939389 -117.932750        CLL03027_9A_1       850
15244   48125  33.788256 -118.123467        CLL23284_2A_1      1975
15245   25818  34.185111 -118.349833        CLL25059_7A_1      5780
15246   11775  34.057306 -118.345528        CLL25665_7A_1      5780
15247  127122  34.065183 -118.389397        CLL05727_9A_1       850
15248  118489  33.544786 -117.791558        CLL23510_9B_1       850
15249   12100  34.143361 -118.250361        CLL05037_9A_1       850
15250   12100  34.143361 -118.250361        CLL05037_9A_1       850
15251   24284  34.052931 -118.301772        CLL05673_9C_1       850
15252   24284  34.052931 -118.301772        CLL05673_9C_1       850
15253   47052  35.385531 -119.107642        CSL01095_9B_2       775
15254   48125  33.788170 -118.123894        CLL23284_2B_1      1975
15255  128929  34.119289 -117.809778        CLL24302_9A_1       850
15256   48125  33.788461 -118.123667        CLL23284_2C_1      1975
15257   24266  34.122306 -117.542000        CSL24082_2A_1      1975
15258   24266  34.122306 -117.542000        CSL24082_7A_1      5780
15259  128929  34.119289 -117.809778        CLL04302_9C_1       850
15260   12100  34.143361 -118.250361        CLL25037_7B_1      5780
15261   25732  33.939389 -117.932750        CLL03027_9C_1       850
15262   12100  34.143361 -118.250361        CLL25037_9B_1       850
15263   47052  35.385531 -119.107642        CSL21095_9A_2       775
15264  118489  33.544786 -117.791558        CLL03510_9C_1       850
15265  128929  34.119289 -117.809778        CLL04302_9B_1       850
15266  114062  34.069356 -117.963853        CLL06113_9B_1       850
15267  118692  34.199431 -118.171311        CLL05022_9C_1       850
15268   25818  34.185111 -118.349833        CLL25059_2A_1      1975
15269   11909  34.063556 -118.399278        CLL25638_7C_1      5780
15270  143646  35.353417 -119.019536        CSL00618_9C_2       775
15271  101405  33.773528 -117.974369        CLL23342_7B_1      5780
15272  117631  34.105002 -118.201752        CLL25852_7C_1      5780
15273  101404  33.847778 -118.001389        CLL00605_2C_1      1975
15274  103694  35.442333 -119.031917        CSL09731_7C_1      5780
15275   24323  33.816750 -118.184222        CLL22702_2B_1      1975
15276  105377  34.236667 -119.039639        CSL21535_9B_1       850
15277  105377  34.236667 -119.039639        CSL21535_9B_1       850
15278   11827  34.194500 -118.510306        CLL01927_9A_1       850
15279   12429  33.659444 -117.862778        CLL03468_9B_1       850
15280   48115  33.939944 -118.214694        CLL02485_2A_1      1975
15281   48115  33.939944 -118.214694        CLL02485_2A_1      1975
15282   48115  33.939944 -118.214694        CLL02485_2A_1      1975
15283  101404  33.847778 -118.001389        CLL03327_2A_1      1975
15284  101404  33.847778 -118.001389        CLL03327_2A_1      1975
15285   36288  34.038432 -118.251150        CLL00273_9C_1       850
15286   36288  34.038432 -118.251150        CLL00273_9C_1       850
15287  101404  33.847778 -118.001389        CLL00605_9C_1       850
15288   47884  35.314795 -119.037067        CSL00024_7C_1      5780
15289  139533  35.361289 -119.076675        CSL00613_9A_2       775
15290   11934  34.067499 -118.408408        CLL05996_7C_1      5780
15291   11934  34.067499 -118.408408        CLL05996_9C_1       850
15292   47859  35.339400 -118.981000        CSL00014_9C_2       775
15293   27200  34.424194 -117.300444        CSL24041_7C_1      5780
15294   12100  34.143361 -118.250361        CLL04459_2C_1      1975
15295   12100  34.143361 -118.250361        CLL04459_2C_1      1975
15296   11934  34.067499 -118.408408        CLL05996_2C_1      1975
15297  105377  34.236667 -119.039639        CSL21535_9C_1       850
15298  105377  34.236667 -119.039639        CSL21535_9A_1       850
15299   36288  34.038432 -118.251150        CLL00273_2C_1      1975
15300   36288  34.038432 -118.251150        CLL00273_2C_1      1975
15301  103694  35.442333 -119.031917        CSL09731_9C_1      1125
15302  139533  35.361289 -119.076675        CSL03533_9C_2       775
15303    9556  35.370321 -118.968043        CSL00011_7C_1      5780
15304   12107  33.856667 -118.007194      CLL23212_7C_2_E      9720
15305   27200  34.424194 -117.300444        CSL24041_2C_1      1975
15306   24323  33.816750 -118.184222        CLL22702_2A_1      1975
15307  101404  33.847778 -118.001389        CLL00605_7C_1      5780
15308   11827  34.194500 -118.510306        CLL01927_9C_1       850
15309    9556  35.370321 -118.968043        CSL00011_9C_1      1125
15310   47859  35.339400 -118.981000        CSL21107_9B_2       775
15311   47884  35.314795 -119.037067        CSL00024_9C_1      1125
15312   12100  34.143361 -118.250361        CLL04459_7C_1      5780
15313   12100  34.143361 -118.250361        CLL04459_7C_1      5780
15314   12429  33.659444 -117.862778        CLL03468_9C_1       850
15315   12100  34.143361 -118.250361        CLL04459_9C_1       850
15316   12100  34.143361 -118.250361        CLL04459_9C_1       850
15317   12429  33.659444 -117.862778        CLL03468_9A_1       850
15318   47859  35.339400 -118.981000        CSL01107_9A_2       775
15319   36288  34.038432 -118.251150        CLL00273_7C_1      5780
15320  139533  35.361289 -119.076675        CSL20613_9B_2       775
15321  101404  33.847778 -118.001389      CLL00605_7C_2_E      9720
15322   11934  34.067166 -118.408831      CLL05496_7B_2_E      9720
15323   11934  34.067166 -118.408831      CLL05496_7B_2_E      9720
15324  139367  35.397278 -118.915775        CSL00627_9A_2       775
15325   25665  33.846972 -118.245222        CLL02670_9B_1       850
15326   26973  34.131903 -118.344102        CLL05072_3A_1      9820
15327   36503  34.121397 -118.184133        CLL25850_7C_1      5780
15328  139367  35.397278 -118.915775        CSL00627_9B_2       775
15329   88467  33.923641 -118.100341        CLL23034_3B_1      9820
15330  123185  35.407800 -118.984558        CSL21174_3B_1      9820
15331   25665  33.846972 -118.245222        CLL02670_9A_1       850
15332   12059  33.989372 -118.283552        CLL02464_3B_1      9820
15333   12059  33.989372 -118.283552        CLL02464_3B_1      9820
15334  101404  33.847778 -118.001389      CLL09008_7B_2_E      9720
15335  101404  33.847778 -118.001389      CLL09008_7B_2_E      9720
15336   84433  34.051460 -118.246211        CLL25685_3B_1      9820
15337   84433  34.051460 -118.246211        CLL25685_3B_1      9820
15338    9556  35.370321 -118.968043        CSL00011_9C_2       775
15339   26956  33.699742 -117.843125        CLL03668_3A_1      9820
15340   47991  33.883700 -118.121726        CLL02652_3C_1      9820
15341   47991  33.883700 -118.121726        CLL02652_3C_1      9820
15342    9556  35.370321 -118.968043        CSL21102_9A_2       775
15343   11934  34.067129 -118.407649      CLL25496_7A_2_E      9720
15344   11934  34.067129 -118.407649      CLL25496_7A_2_E      9720
15345  116699  35.341892 -119.007547        CSL06240_3B_1      9820
15346   25660  33.850949 -118.143574      CLL02177_7C_2_E      9720
15347   14391  34.049972 -118.420972        CLL05506_9B_1       850
15348   14391  34.049972 -118.420972        CLL05506_9B_1       850
15349   14391  34.049972 -118.420972        CLL05506_9B_1       850
15350  123180  34.467553 -118.511681        CLL22042_3B_1      9820
15351   24387  34.182056 -118.166667        CLL25027_9A_1       850
15352   84433  34.051410 -118.246130        CLL05685_3A_1      9820
15353   84433  34.051410 -118.246130        CLL05685_3A_1      9820
15354  123180  34.467553 -118.511681        CLL02042_3C_1      9820
15355    9556  35.370321 -118.968043        CSL01102_9B_2       775
15356   14391  34.049972 -118.420972        CLL05506_7B_1      5780
15357   14391  34.049972 -118.420972        CLL05506_7B_1      5780
15358   25665  33.846972 -118.245222        CLL22670_9C_1       850
15359   24387  34.182056 -118.166667        CLL05027_9B_1       850
15360   48233  33.645796 -117.846829        CLL23469_3B_1      9820
15361   48233  33.645796 -117.846829        CLL23469_3B_1      9820
15362  122964  35.346494 -119.048861        CSL01180_3A_1      9820
15363   12059  33.989372 -118.283552        CLL02464_3C_1      9820
15364   12059  33.989372 -118.283552        CLL02464_3C_1      9820
15365  139367  35.397278 -118.915775        CSL20627_9C_2       775
15366   24387  34.182056 -118.166667        CLL05027_9C_1       850
15367   25660  33.850949 -118.143574      CLL02691_7A_2_E      9720
15368   26956  33.699741 -117.843132        CLL03668_3B_1      9820
15369   48112  34.009079 -118.339266        CLL22435_3B_1      9820
15370   48112  34.009079 -118.339266        CLL22435_3B_1      9820
15371   14391  34.049972 -118.420972        CLL05506_9A_1       850
15372   14391  34.049972 -118.420972        CLL05506_9A_1       850
15373  122964  35.346494 -119.048861        CSL21180_3B_1      9820
15374  101404  33.847778 -118.001389      CLL03327_7A_2_E      9720
15375  101404  33.847778 -118.001389      CLL03327_7A_2_E      9720
15376   47991  33.883700 -118.121726        CLL02652_3B_1      9820
15377  123185  35.407800 -118.984558        CSL01174_3A_1      9820
15378   25660  33.850949 -118.143574      CLL22691_7B_2_E      9720
15379   14391  34.049972 -118.420972        CLL05506_7A_1      5780
15380   14391  34.049972 -118.420972        CLL05506_7A_1      5780
15381  123180  34.467553 -118.511681        CLL02042_3A_1      9820
15382   11866  34.154162 -118.470674        CLL25297_3A_1      9820
15383   11866  34.154162 -118.470674        CLL25297_3A_1      9820
15384   47985  33.819075 -118.108381        CLL22698_9A_1       850
15385   12414  34.028083 -117.794972        CLL04283_2A_1      1975
15386    9550  35.402694 -119.398583        CSL01131_9A_1      1125
15387  116699  35.341892 -119.007547        CSL02158_9C_1      1125
15388   87087  33.940667 -117.251944        CSL24663_2B_1      1975
15389   25796  33.671000 -117.969611        CLL23439_7C_1      5780
15390   26330  34.186334 -118.606500        CLL06307_2B_1      1975
15391   26330  34.186334 -118.606500        CLL06307_2B_1      1975
15392  122911  35.432258 -119.143883        CSL02920_9C_1      1125
15393   24388  34.197778 -118.535083        CLL21929_2A_1      1975
15394  122964  35.346494 -119.048861        CSL02926_7C_1      5780
15395   11934  34.067499 -118.408408      CLL05996_7C_2_E      9720
15396  116699  35.341892 -119.007547        CSL02158_7C_1      5780
15397    9550  35.402694 -119.398583        CSL02859_9C_1      1125
15398   25796  33.671000 -117.969611        CLL23439_2C_1      1975
15399   12438  33.672222 -117.832444        CLL23456_2B_1      1975
15400   11827  34.194500 -118.510306        CLL21927_9B_1       850
15401  122916  35.386008 -119.195942        CSL21178_7B_1      5780
15402    9550  35.402694 -119.398583        CSL02859_7C_1      5780
15403  100857  33.779750 -117.888139        CLL03340_2A_1      1975
15404  100857  33.779750 -117.888139        CLL03340_2A_1      1975
15405  122964  35.346494 -119.048861        CSL02926_9C_1      1125
15406   51175  34.157000 -118.082000        CLL25817_2A_1      1975
15407  122306  35.266478 -119.043714        CSL00460_7C_1      5780
15408   12414  34.028083 -117.794972        CLL24283_7B_1      5780
15409  122306  35.266478 -119.043714        CSL00460_9C_1      1125
15410  122911  35.432258 -119.143883        CSL21177_7B_1      5780
15411   24388  34.197778 -118.535083        CLL21929_7A_1      5780
15412   12438  33.672222 -117.832444        CLL23456_7B_1      5780
15413  122911  35.432258 -119.143883        CSL02920_7C_1      5780
15414   26330  34.186334 -118.606500        CLL06307_9B_1       850
15415   26330  34.186334 -118.606500        CLL06307_9B_1       850
15416   87087  33.940667 -117.251944        CSL24663_7B_1      5780
15417    9550  35.402694 -119.398583        CSL21131_7B_1      5780
15418   26330  34.186334 -118.606500        CLL06307_7B_1      5780
15419   51175  34.157000 -118.082000        CLL25817_7A_1      5780
15420  122911  35.432258 -119.143883        CSL21177_9B_1      1125
15421   12414  34.028083 -117.794972        CLL04283_2C_1      1975
15422   12439  33.659325 -117.751103        CLL23678_3B_1      9820
15423   12439  33.659325 -117.751103        CLL23678_3B_1      9820
15424    9533  35.292139 -119.020750        CSL00027_9C_2       775
15425    9552  35.415111 -119.053278        CSL21087_9C_2       775
15426   27360  33.693404 -117.893138        CLL03417_9B_1       850
15427   27360  33.693404 -117.893138        CLL03417_9B_1       850
15428    9537  35.353584 -119.062690        CSL00017_9C_2       775
15429   12150  34.098000 -117.983222        CLL24226_9A_1       850
15430    9537  35.353584 -119.062690        CSL01110_9B_2       775
15431  141368  33.914800 -118.112086        CLL26000_3B_1      9820
15432  141368  33.914800 -118.112086        CLL26000_3B_1      9820
15433   11990  33.785690 -118.201720        CLL02715_9C_1       850
15434    9533  35.292139 -119.020750        CSL01120_9A_2       775
15435   47852  35.265600 -119.002000        CSL01122_9C_2       775
15436  101404  33.847778 -118.001389        CLL00605_3C_1      9820
15437  122911  35.432258 -119.143883        CSL02920_9C_2       775
15438   44227  33.924333 -117.409750        CSL24509_9C_1       850
15439   13815  34.259389 -119.010167        CSL01536_9B_1       850
15440   16280  32.879015 -117.243442        CAL00081_3C_1      9820
15441   12150  34.098000 -117.983222        CLL04226_9B_1       850
15442   12150  34.098000 -117.983222        CLL04226_9B_1       850
15443    9537  35.353584 -119.062690        CSL21110_9A_2       775
15444  103694  35.442333 -119.031917        CSL21156_9B_2       775
15445  122911  35.432258 -119.143883        CSL21177_9B_2       775
15446   48200  33.989611 -117.220472        CSL04667_9A_1       850
15447   48200  33.989611 -117.220472        CSL04667_9A_1       850
15448  114202  35.007658 -120.450250        CSL01226_7A_1      5780
15449   44227  33.924333 -117.409750        CSL04509_9B_1       850
15450  140140  34.190025 -118.307894        CLL05119_3C_1      9820
15451   85903  32.844365 -117.201412        CAL05082_3C_1      9820
15452   85903  32.844365 -117.201412        CAL05082_3C_1      9820
15453   50914  34.160361 -117.410139        CSL04096_9B_1       850
15454  122911  35.432258 -119.143883        CSL01177_9A_2       775
15455   50914  34.160361 -117.410139        CSL04096_9C_1       850
15456   48200  33.989611 -117.220472        CSL04667_9B_1       850
15457   47276  34.036825 -118.138236        CLL05899_3B_1      9820
15458  159998  32.816789 -117.221540        CAL00283_3A_1      9820
15459   51786  33.737528 -117.956694        CLL03405_9B_1       850
15460   47276  34.036825 -118.138236        CLL25899_3C_1      9820
15461   13815  34.259389 -119.010167        CSL01536_9A_1       850
15462  118573  33.944944 -118.403361        CLL02346_3C_1      9820
15463  122964  35.346494 -119.048861        CSL02926_3C_1      9820
15464   48907  34.044720 -118.186380        CLL02504_9C_1       850
15465   48907  34.044720 -118.186380        CLL02504_9C_1       850
15466   44227  33.924333 -117.409750        CSL04509_9A_1       850
15467   48907  34.044720 -118.186380        CLL02504_9A_1       850
15468   48907  34.044720 -118.186380        CLL02504_9A_1       850
15469   48907  34.044720 -118.186380        CLL02504_9A_1       850
15470   12037  33.866158 -118.355795        CLL22812_3C_1      9820
15471   25633  33.965583 -118.292032        CLL22466_3B_1      9820
15472  159998  32.816789 -117.221540        CAL03283_7C_1      5780
15473  159998  32.816789 -117.221540        CAL03283_7C_1      5780
15474   88486  34.166694 -117.333389        CSL04106_9B_1       850
15475    9533  35.292139 -119.020750      CSL01120_7A_2_E      9720
15476  103694  35.442333 -119.031917        CSL01156_9A_2       775
15477   51786  33.737528 -117.956694        CLL03405_9C_1       850
15478  103694  35.442333 -119.031917        CSL09731_9C_2       775
15479   11775  34.057306 -118.345528        CLL05665_9B_1       850
15480   48200  33.989611 -117.220472        CSL04667_9C_1       850
15481   11775  34.057306 -118.345528        CLL05665_9C_1       850
15482   11775  34.057306 -118.345528        CLL05665_9C_1       850
15483  116699  35.341892 -119.007547        CSL02158_3C_1      9820
15484  124443  33.795170 -117.905197        CLL23199_3B_1      9820
15485   25636  33.939467 -118.287142        CLL22631_7B_1      5780
15486   85903  32.844365 -117.201412        CAL05082_7C_1      5780
15487   27360  33.693428 -117.892733        CLL03417_9C_1       850
15488   27360  33.693428 -117.892733        CLL03417_9C_1       850
15489   25636  33.939467 -118.287142        CLL22631_2B_1      1975
15490   25636  33.939467 -118.287142        CLL22631_2B_1      1975
15491   12109  34.013193 -118.166627        CLL00521_3B_1      9820
15492   27360  33.693275 -117.892661        CLL23417_9A_1       850
15493    9520  35.015623 -118.935792        CSL01125_9A_2       775
15494   93719  34.042639 -118.266556      CLL05766_7B_2_E      9720
15495   12133  34.151436 -118.112322        CLL05815_3C_1      9820
15496   47884  35.314795 -119.037067      CSL01117_7A_2_E      9720
15497    9533  35.292139 -119.020750      CSL00027_7C_2_E      9720
15498   88486  34.166694 -117.333389        CSL04106_9A_1       850
15499   12133  34.151436 -118.112322        CLL05815_3B_1      9820
15500   51786  33.737528 -117.956694        CLL23405_9A_1       850
15501  123120  35.354881 -118.930631        CSL21175_9A_2       775
15502   16280  32.879075 -117.243261        CAL00081_3B_1      9820
15503   85903  32.844365 -117.201412        CAL05082_9C_1       700
15504   85903  32.844365 -117.201412        CAL02082_3B_1      9820
15505  124443  33.795170 -117.905197        CLL03199_3C_1      9820
15506   11775  34.057306 -118.345528        CLL25665_9A_1       850
15507   11990  33.785690 -118.201720        CLL02715_9B_1       850
15508   47852  35.265600 -119.002000        CSL01122_9B_2       775
15509  101624  35.198917 -118.835167        CSL21171_9A_2       775
15510   48907  34.044720 -118.186380        CLL22504_9B_1       850
15511   12150  34.098000 -117.983222        CLL04226_9C_1       850
15512   12150  34.098000 -117.983222        CLL04226_9C_1       850
15513   36288  34.038432 -118.251150        CLL00273_3C_1      9820
15514   36288  34.038432 -118.251150        CLL00273_3C_1      9820
15515   50914  34.160361 -117.410139        CSL04096_9A_1       850
15516   97744  33.900833 -117.383472        CSL04508_9A_1       850
15517  114178  35.505417 -120.622950        CSL01260_9B_1       800
15518   47884  35.314795 -119.037067      CSL00024_7C_2_E      9720
15519   15451  35.395167 -119.080850        CSL00722_7C_1      5780
15520  164079  32.794169 -117.190964        CAL00880_7B_1      5780
15521  145434  35.127767 -117.958792        CSL24442_9C_1      1125
15522   12513  34.357056 -119.058028        CSL21495_9A_1       850
15523  106332  33.645611 -117.722167        CLL23709_7B_1      5780
15524  164079  32.794169 -117.190964        CAL00880_3B_1      9820
15525   25804  33.895909 -117.863855        CLL23081_7B_1      5780
15526   15451  35.395167 -119.080850        CSL21094_7B_1      5780
15527   12434  33.696944 -117.860694        CLL23447_7C_1      5780
