         usid   latitude   longitude                 cell  earfcndl
105     26480  34.282778 -118.792583        CSL01704_7B_1      5780
106     12081  34.010850 -117.967528        CLL04256_7C_1      5780
107     48924  34.118750 -118.165972        CLL05848_7B_1      5780
108    106990  34.108556 -117.749806        CLL04383_7C_1      5780
109     12132  33.999972 -117.925067        CLL04260_7B_1      5780
110     12132  33.999972 -117.925067        CLL04260_7B_1      5780
111     86046  34.203167 -118.631556        CLL01768_7A_1      5780
112     51014  33.783296 -118.132159        CLL03287_7C_1      5780
113     25703  33.898127 -118.166784        CLL02655_2C_1      1975
114     25703  33.898127 -118.166784        CLL02655_2C_1      1975
115     83958  33.996028 -117.336861        CSL04751_7B_1      5780
116     12151  34.122547 -117.918994        CLL04232_7A_1      5780
117     11887  34.069925 -118.383350        CLL05639_2A_1      1975
118     11887  34.069925 -118.383350        CLL05639_2A_1      1975
119     11887  34.069925 -118.383350        CLL05639_2A_1      1975
120    107369  34.133631 -118.242222        CLL05150_7B_1      5780
121    107369  34.133631 -118.242222        CLL05150_7B_1      5780
122     11727  34.032639 -118.389833        CLL02410_2B_1      1975
123     51165  34.219000 -118.448444        CLL05236_7A_1      5780
124     12523  34.262278 -118.674805        CSL01723_7B_1      5780
125     39163  34.435497 -119.839956        CSL01414_7A_1      5780
126     26358  33.600722 -117.871889        CLL03498_7A_1      5780
127     97764  33.463083 -117.636944        CLL03936_7B_1      5780
128     12476  33.566222 -117.724611        CLL03865_2C_1      1975
129     25767  33.625933 -117.693586        CLL03825_7A_1      5780
130     12004  33.831360 -118.207880        CLL02676_7A_1      5780
131     24332  33.809722 -118.108056        CLL03276_7A_1      5780
132     47055  34.155278 -118.242222        CLL05036_7C_1      5780
133     11701  33.766500 -117.930806        CLL03241_7A_1      5780
134     14597  34.878861 -118.896389        CSL01605_7A_1      5780
135     44429  33.674228 -117.644325        CLL03703_7C_1      5780
136     11708  33.799830 -117.920464        CLL03253_2A_1      1975
137     84139  34.458083 -119.807111        CSL01419_7B_1      5780
138     40521  33.880639 -117.401361        CSL04546_7C_1      5780
139     98288  33.173338 -117.209234        CAL01327_7B_1      5780
140     14153  32.717655 -117.156002        CAL00365_7C_1      5780
141     87829  32.996113 -117.240929        CAL01607_7B_1      5780
142    103941  32.865058 -117.220147        CAL02076_7A_1      5780
143     13946  33.040394 -117.292512        CAL00419_7C_1      5780
